Order_ID,Order_Date,Customer_ID,Product_ID,Customer_Name,City,Region,Membership_Type,Product_Name,Category,Brand,Unit_Price,Quantity,Total Price,Payment_Method,Order_Status,Order Year,Order Month,Order Day,Order Day Of Week
O0001,2026-02-19,C027,P019,Harsh Vardhan,Noida,North,Premium,Cricket Bat,Sports,BatPro,2499,2,4998,Credit Card,Delivered,2026,2,19,Thursday
O0002,2026-01-25,C006,P003,Ishita Gupta,Bengaluru,South,Premium,Wireless Mouse,Electronics,TechGear,899,2,1798,Debit Card,Delivered,2026,1,25,Sunday
O0003,2026-02-26,C015,P004,Karan Joshi,Chandigarh,North,Regular,Smart Watch,Electronics,FitTech,3299,1,3299,Cash on Delivery,Delivered,2026,2,26,Thursday
O0004,2026-03-04,C024,P015,Maryam Khan,Hyderabad,South,Regular,Machine Learning Basics,Books,AIPress,999,3,2997,Net Banking,Delivered,2026,3,4,Wednesday
O0005,2026-03-29,C025,P009,Reyansh Jain,Kolkata,East,New,Coffee Maker,Home & Kitchen,HomeBrew,3499,5,17495,Credit Card,Delivered,2026,3,29,Sunday
O0006,2026-02-09,C003,P018,Rohan Mehta,Mumbai,West,Premium,Football,Sports,SportZone,799,3,2397,UPI,Delivered,2026,2,9,Monday
O0007,2026-02-10,C011,P003,Vivaan Kapoor,Jaipur,North,New,Wireless Mouse,Electronics,TechGear,899,3,2697,UPI,Delivered,2026,2,10,Tuesday
O0008,2026-03-27,C020,P005,Priya Menon,Chennai,South,Premium,Power Bank,Electronics,VoltPlus,1199,4,4796,Debit Card,Delivered,2026,3,27,Friday
O0009,2026-03-13,C024,P009,Maryam Khan,Hyderabad,South,Regular,Coffee Maker,Home & Kitchen,HomeBrew,3499,2,6998,UPI,Cancelled,2026,3,13,Friday
O0010,2026-03-05,C026,P005,Fatima Noor,Srinagar,North,Regular,Power Bank,Electronics,VoltPlus,1199,2,2398,Debit Card,Shipped,2026,3,5,Thursday
O0011,2026-01-26,C022,P020,Alina Shah,Pune,West,New,Dumbbell Set,Sports,StrongFit,1999,2,3998,Net Banking,Cancelled,2026,1,26,Monday
O0012,2026-02-03,C017,P008,Dev Patel,Ahmedabad,West,Premium,Sneakers,Clothing,StepUp,2999,5,14995,Credit Card,Delivered,2026,2,3,Tuesday
O0013,2026-03-22,C005,P009,Kabir Ali,Lucknow,North,New,Coffee Maker,Home & Kitchen,HomeBrew,3499,3,10497,Cash on Delivery,Delivered,2026,3,22,Sunday
O0014,2026-02-20,C007,P010,Aditya Verma,Pune,West,Regular,Electric Kettle,Home & Kitchen,KitchenPro,1499,4,5996,UPI,Shipped,2026,2,20,Friday
O0015,2026-02-16,C027,P011,Harsh Vardhan,Noida,North,Premium,Air Fryer,Home & Kitchen,CookSmart,4999,3,14997,Credit Card,Cancelled,2026,2,16,Monday
O0016,2026-02-25,C011,P008,Vivaan Kapoor,Jaipur,North,New,Sneakers,Clothing,StepUp,2999,3,8997,UPI,Delivered,2026,2,25,Wednesday
O0017,2026-02-27,C023,P011,Nikhil Sood,Chandigarh,North,Premium,Air Fryer,Home & Kitchen,CookSmart,4999,4,19996,Net Banking,Delivered,2026,2,27,Friday
O0018,2026-01-05,C003,P011,Rohan Mehta,Mumbai,West,Premium,Air Fryer,Home & Kitchen,CookSmart,4999,4,19996,Net Banking,Cancelled,2026,1,5,Monday
O0019,2026-03-05,C019,P017,Yusuf Dar,Srinagar,North,New,Yoga Mat,Sports,FitLife,899,4,3596,Net Banking,Delivered,2026,3,5,Thursday
O0020,2026-02-06,C010,P012,Mehak Bhat,Srinagar,North,Premium,Water Bottle,Home & Kitchen,HydroLife,699,3,2097,Credit Card,Delivered,2026,2,6,Friday
O0021,2026-01-09,C026,P019,Fatima Noor,Srinagar,North,Regular,Cricket Bat,Sports,BatPro,2499,1,2499,Debit Card,Cancelled,2026,1,9,Friday
O0022,2026-01-02,C023,P014,Nikhil Sood,Chandigarh,North,Premium,Data Science Handbook,Books,DataPress,899,4,3596,Net Banking,Delivered,2026,1,2,Friday
O0023,2026-02-04,C015,P013,Karan Joshi,Chandigarh,North,Regular,Python Programming,Books,TechBooks,749,3,2247,Debit Card,Delivered,2026,2,4,Wednesday
O0024,2026-02-20,C030,P001,Riya Kapoor,Bengaluru,South,Premium,Wireless Headphones,Electronics,SoundMax,1499,4,5996,Net Banking,Delivered,2026,2,20,Friday
O0025,2026-01-22,C026,P008,Fatima Noor,Srinagar,North,Regular,Sneakers,Clothing,StepUp,2999,2,5998,Cash on Delivery,Cancelled,2026,1,22,Thursday
O0026,2026-01-28,C015,P005,Karan Joshi,Chandigarh,North,Regular,Power Bank,Electronics,VoltPlus,1199,2,2398,UPI,Delivered,2026,1,28,Wednesday
O0027,2026-01-11,C002,P008,Zoya Khan,Delhi,North,Regular,Sneakers,Clothing,StepUp,2999,1,2999,Cash on Delivery,Shipped,2026,1,11,Sunday
O0028,2026-01-07,C006,P011,Ishita Gupta,Bengaluru,South,Premium,Air Fryer,Home & Kitchen,CookSmart,4999,3,14997,UPI,Delivered,2026,1,7,Wednesday
O0029,2026-01-15,C005,P017,Kabir Ali,Lucknow,North,New,Yoga Mat,Sports,FitLife,899,1,899,Cash on Delivery,Cancelled,2026,1,15,Thursday
O0030,2026-03-05,C017,P010,Dev Patel,Ahmedabad,West,Premium,Electric Kettle,Home & Kitchen,KitchenPro,1499,3,4497,Net Banking,Shipped,2026,3,5,Thursday
O0031,2026-03-24,C013,P014,Rahul Das,Kolkata,East,Regular,Data Science Handbook,Books,DataPress,899,2,1798,Debit Card,Delivered,2026,3,24,Tuesday
O0032,2026-01-25,C017,P005,Dev Patel,Ahmedabad,West,Premium,Power Bank,Electronics,VoltPlus,1199,2,2398,Credit Card,Shipped,2026,1,25,Sunday
O0033,2026-02-13,C010,P008,Mehak Bhat,Srinagar,North,Premium,Sneakers,Clothing,StepUp,2999,5,14995,Credit Card,Delivered,2026,2,13,Friday
O0034,2026-01-13,C010,P020,Mehak Bhat,Srinagar,North,Premium,Dumbbell Set,Sports,StrongFit,1999,5,9995,Credit Card,Delivered,2026,1,13,Tuesday
O0035,2026-03-01,C003,P007,Rohan Mehta,Mumbai,West,Premium,Jacket,Clothing,NorthStyle,2499,2,4998,Net Banking,Cancelled,2026,3,1,Sunday
O0036,2026-03-14,C026,P016,Fatima Noor,Srinagar,North,Regular,Atomic Habits,Books,MindReads,599,5,2995,Debit Card,Shipped,2026,3,14,Saturday
O0037,2026-03-30,C028,P005,Inaya Khan,Mumbai,West,Regular,Power Bank,Electronics,VoltPlus,1199,1,1199,Credit Card,Delivered,2026,3,30,Monday
